[info][2026-05-08 17:25:34] "bbbbbbbbbbbbbbbbb"
[info][2026-05-09 13:30:26] "appx\\api\\demo\\controller\\test\\test@anonymous\u0000C:\\Users\\Administrator\\eclipse-workspace\\2023\\hx.fw\\app.x\\api\\demo\\controller\\test\\test.php:23$d"
[info][2026-05-09 13:30:29] "appx\\api\\demo\\controller\\test\\test@anonymous\u0000C:\\Users\\Administrator\\eclipse-workspace\\2023\\hx.fw\\app.x\\api\\demo\\controller\\test\\test.php:23$34"
[info][2026-05-09 13:31:30] null
[info][2026-05-09 13:33:10] "aaaaaaaaa"
[info][2026-05-09 13:33:27] "aaaaaaaaa"
[info][2026-05-09 16:53:08] "aaaaaaaaa"
[info][2026-05-09 16:53:10] "aaaaaaaaa"
[info][2026-05-10 11:36:32] "appx\\framework\\c_controller@anonymous\u0000C:\\Users\\Administrator\\eclipse-workspace\\2024\\hx.fw\\app.x\\api\\demo\\controller\\test\\test.php:23$d"
[info][2026-05-10 11:36:42] "appx\\framework\\c_controller@anonymous\u0000C:\\Users\\Administrator\\eclipse-workspace\\2024\\hx.fw\\app.x\\api\\demo\\controller\\test\\test.php:23$36"
[info][2026-05-10 11:36:55] "appx\\framework\\c_controller@anonymous\u0000C:\\Users\\Administrator\\eclipse-workspace\\2024\\hx.fw\\app.x\\api\\demo\\controller\\test\\test.php:23$5f"
[info][2026-05-10 11:37:06] "appx\\framework\\c_controller@anonymous\u0000C:\\Users\\Administrator\\eclipse-workspace\\2024\\hx.fw\\app.x\\api\\demo\\controller\\test\\test.php:23$88"
[error][2026-05-10 11:38:22] "appx\\framework\\c_controller@anonymous\u0000C:\\Users\\Administrator\\eclipse-workspace\\2024\\hx.fw\\app.x\\api\\demo\\controller\\test\\test.php:23$b1"
[error][2026-05-10 11:40:35] "appx\\framework\\c_controller@anonymous\u0000C:\\Users\\Administrator\\eclipse-workspace\\2024\\hx.fw\\app.x\\api\\demo\\controller\\test\\test.php:23$da"
[error][2026-05-10 11:40:36] "appx\\framework\\c_controller@anonymous\u0000C:\\Users\\Administrator\\eclipse-workspace\\2024\\hx.fw\\app.x\\api\\demo\\controller\\test\\test.php:23$103"
[error][2026-05-10 11:59:51] "appx\\framework\\c_controller@anonymous\u0000C:\\Users\\Administrator\\eclipse-workspace\\2024\\hx.fw\\app.x\\api\\demo\\controller\\test\\test.php:30$12c"
[error][2026-05-10 12:00:59] "appx\\framework\\c_controller@anonymous\u0000C:\\Users\\Administrator\\eclipse-workspace\\2024\\hx.fw\\app.x\\api\\demo\\controller\\test\\test.php:30$155"
[info][2026-05-10 12:00:59] ""
[error][2026-05-10 12:01:02] "appx\\framework\\c_controller@anonymous\u0000C:\\Users\\Administrator\\eclipse-workspace\\2024\\hx.fw\\app.x\\api\\demo\\controller\\test\\test.php:30$17e"
[info][2026-05-10 12:01:02] ""
[error][2026-05-10 15:32:39] "appx\\framework\\c_controller@anonymous\u0000C:\\Users\\Administrator\\eclipse-workspace\\2024\\hx.fw\\app.x\\api\\demo\\controller\\test\\test.php:34$50"
[info][2026-05-10 15:32:39] ""
[error][2026-05-10 15:33:17] "appx\\framework\\c_controller@anonymous\u0000C:\\Users\\Administrator\\eclipse-workspace\\2024\\hx.fw\\app.x\\api\\demo\\controller\\test\\test.php:34$a0"
[info][2026-05-10 15:33:17] ""
[error][2026-05-10 15:36:11] "appx\\framework\\c_controller@anonymous\u0000C:\\Users\\Administrator\\eclipse-workspace\\2024\\hx.fw\\app.x\\api\\demo\\controller\\test\\test.php:34$15e"
[info][2026-05-10 15:36:11] ""
[error][2026-05-10 19:15:17] "appx\\framework\\c_controller@anonymous\u0000C:\\Users\\Administrator\\eclipse-workspace\\2024\\hx.fw\\app.x\\api\\demo\\controller\\test\\test.php:34$186"
[info][2026-05-10 19:15:17] ""
[error][2026-05-10 19:16:08] "appx\\framework\\c_controller@anonymous\u0000C:\\Users\\Administrator\\eclipse-workspace\\2024\\hx.fw\\app.x\\api\\demo\\controller\\test\\test.php:34$1ae"
[info][2026-05-10 19:16:08] ""
[error][2026-05-10 19:28:50] "appx\\framework\\c_controller@anonymous\u0000C:\\Users\\Administrator\\eclipse-workspace\\2024\\hx.fw\\app.x\\api\\demo\\controller\\test\\test.php:34$1d6"
[info][2026-05-10 19:28:50] ""
[error][2026-05-10 19:29:26] "appx\\framework\\c_controller@anonymous\u0000C:\\Users\\Administrator\\eclipse-workspace\\2024\\hx.fw\\app.x\\api\\demo\\controller\\test\\test.php:34$1fe"
[info][2026-05-10 19:29:26] ""
